user_id,cpu_usage,battery_level,network_latency,task_complexity,bandwidth,data_size,target
84,80.97140277170463,26.643859651873424,237.2628181381138,high,8983.675005171814,955.1655425988065,0
59,77.61487706987961,35.44687258431215,273.58095641137265,high,2165.261496223382,116.31402974318152,0
83,64.56903438682097,92.0982154065183,515.6753991920109,medium,2035.0306223353311,449.09162221731026,0
83,6.407453953597464,69.9039256699713,811.7328441867359,medium,9979.336269903872,709.8619260637201,0
37,21.77058951752091,4.798569331423863,266.19373032370964,high,921.8647517238712,278.3220309478412,0
84,27.893489665356675,4.5839046968608415,806.3386735642331,low,318.6936614537588,649.903628733655,0
11,3.130458942583847,2.314173699253441,915.3504960480365,high,6352.591684860545,530.3857407615637,0
82,47.25145746691462,66.84642096426496,19.608366958409313,medium,8375.90478989743,184.5601353514386,0
62,72.27599450268633,89.5161588024603,846.1259979023779,low,5435.010948682884,905.5320542116217,0
79,38.967611576567464,63.05562669087649,803.1103771849508,low,9678.615474546194,679.0463765198973,0
76,3.932092895813455,37.87701529629217,217.7481107758724,low,9024.193923510386,656.4264235696302,0
37,63.984864868745404,78.96844430396406,367.8215657935412,high,596.9525415625781,592.9835023014678,0
62,76.72361984096756,56.45530444684228,800.1610910524051,high,9081.871489583496,907.372999000419,0
76,92.52491112751242,74.52192603134269,10.107167432047987,high,8705.74895906514,860.5842918767655,0
15,39.56329535927758,51.020203297702515,552.790950982486,low,5816.298610389229,866.434789975592,0
27,35.68299270772047,91.62341885346645,211.15120296534482,medium,7361.014248189309,585.6245885367206,0
54,34.740321243250264,16.83744862100378,980.6026714281275,medium,8795.557390087002,409.65136469339507,0
88,77.08736866948144,39.061634976657444,851.2183355846872,high,2004.2147581136435,231.63008549288165,0
100,58.137588341745705,62.76520645036469,289.47732235133594,low,7751.39175104783,150.0240332219105,0
91,7.402553780339305,0.7992014276595238,69.25349565973694,low,3141.2784391433775,823.6979446120146,0
96,26.96249916935426,21.18634118994851,376.96821594648515,medium,2174.2797998400115,536.0876763956471,0
60,28.997260656816014,41.70233382274081,912.441942016273,medium,886.3790038891874,652.03229291396,0
78,85.00691877686288,39.462331442425395,676.217055348584,high,4612.276261884201,893.0101462949964,0
59,26.127008732164136,61.739159584065085,85.73136819480824,low,2360.771747691086,113.48934497674487,0
92,57.007990904655735,71.51323939246875,864.6844016991852,high,4546.471397195418,398.90002757050405,0
90,65.19621872392605,32.34456548383725,516.5594085038322,high,7901.704381958885,802.1810167133573,0
2,59.775687972489486,22.13741843249798,53.34806748174219,high,1650.3483330091083,429.8350355926739,0
9,17.215626429687646,22.673104780805907,313.30959253129276,medium,2088.543689183639,353.51467613676107,0
74,74.45440974357498,86.70016797440422,883.7380841594313,high,2930.5535125411607,862.0870994631194,0
79,69.65606514972184,88.43324197626326,559.318178466584,high,4545.408147604109,58.18639617148458,0
9,15.557955343292084,18.350490046140266,995.1622750704615,low,853.292042167296,883.6569983764417,0
42,23.61582023914598,75.7339859696085,573.3523065129558,medium,111.082181552239,739.0290362704844,0
53,85.88203809574588,57.34812860019641,383.23390948174546,high,2643.1949588438233,463.8179409307044,0
65,67.96741408278014,47.05244558000076,542.1484519924085,medium,7477.294059222095,208.987479375395,0
84,10.069292522483419,96.79401389265216,975.8744936603146,low,3002.623278313006,403.3576250406815,0
66,39.69350436074423,26.4089474678619,864.034819590441,medium,2037.2258689114876,628.7670881438763,0
41,19.07167642927442,12.607954608510298,221.8728585101648,medium,5661.507112165481,361.8780174611191,0
88,34.60309893941839,98.68401812495783,189.87285906905072,high,5056.513184653117,493.4397895145116,0
53,50.502876794207275,43.24425547247007,228.22695216829905,high,9237.711752137846,388.7143854957534,0
75,36.012534089322045,30.53722605852035,776.5120164088046,high,6450.428232354505,904.1895267215076,0
51,34.91154517025402,94.0473649167054,455.7136813348302,low,4397.592286554574,332.14295289189573,0
59,97.02136080578934,25.16394289335655,979.5970985350486,medium,8903.421263476701,22.553304980659348,1
70,80.34243345899267,69.7204021153549,837.2524612334356,medium,9756.42004528394,939.1427626364326,0
51,86.18911828095405,82.8952731644111,532.8966692306158,low,2423.3759095298024,366.9403150261126,0
89,56.02932918457334,59.95194778394291,699.5979127772706,medium,5606.084513751305,14.81198551741553,0
45,41.94892485260401,23.02572121349232,831.2692256592799,low,6957.278733749618,173.05002909477489,0
88,25.504816758214744,29.516429171548875,715.783239061605,high,8347.666115004304,348.28950584354595,0
74,75.17206827295401,39.916755075138255,573.9613831965839,medium,9662.503138587155,473.50234240476556,0
13,69.66462048342372,70.3713599716841,400.9081601141322,medium,1982.1003113162017,381.70866033681415,0
6,40.47196236332713,62.523743582051516,964.8289670152938,medium,9661.634808157083,658.9772407829262,0
97,75.96274070264957,15.399691731309328,832.8339541598177,high,2015.4501004748997,181.61580681348883,0
89,98.62436365047034,6.081842687572026,989.6347643672563,medium,1386.0157911643341,911.4651571422343,0
65,80.47839740013966,98.73547881129598,529.5733437937521,medium,2239.9469941156867,623.1471026074537,0
82,79.46465500055656,10.480663825003422,538.0873806781576,high,5336.93611933389,745.0567636253985,0
97,8.262743920554582,50.27702056020912,419.50966875336877,medium,1727.1138805504927,815.6750056078979,0
75,65.90815805440918,42.299009619071406,679.0031807613096,low,5093.950597920417,513.3616190905447,0
15,39.144378619415335,22.845292111984705,40.726477881439905,low,2382.834763215453,598.6499735147256,0
12,58.762416856877884,82.88036334814515,561.5242008061922,low,3461.413384249325,20.264684290019773,0
21,53.219501315193554,77.95445548137269,625.1747965926448,medium,4191.337275553571,308.33789665949047,0
88,88.36505855725609,63.777409009545096,497.72145679199843,low,3425.348394298715,141.68656740652534,0
66,30.359363973721187,48.53091308387862,143.204383173416,high,4570.037815785099,48.84092696306323,0
4,39.48406822147136,33.478717698673336,74.15247341250023,low,2928.52730844105,61.50604004843941,0
48,39.01030592506973,10.98316932709954,245.06954896643313,high,1400.0672818638336,183.80759724015485,0
12,43.32494920614869,46.83230596768957,825.0577339876066,medium,2801.2300391348117,165.40282220772943,0
47,25.33356318606409,12.490299989361542,680.1786348062822,low,5870.480430870738,245.47818250048635,0
25,2.2256052158471817,63.17090789502308,462.8852203440873,medium,1794.2082747428788,852.6422385789037,0
18,98.85641831373673,98.46968604177707,257.56364139013226,medium,7943.895544469085,931.5777256609251,0
54,91.62363787176938,42.55624202407468,908.5211086968426,high,6526.463754322714,160.14586634188876,0
42,5.181959949455517,93.16439711785547,43.985640587329385,medium,4261.309991261429,749.587354132032,0
51,32.47183554386738,97.71026795112043,551.0260593332885,medium,6687.998967621323,862.9689149524171,0
52,94.80087171813408,38.448320809043366,698.0565228189923,low,849.4823696812565,57.806250058747025,0
64,16.566722389417954,80.8289285172833,47.15025719797442,medium,2356.8862097563074,665.462927665489,0
24,80.2304205378585,30.78289902025608,217.42118506976666,medium,2762.4362658675254,317.1839994806669,0
28,73.8920227694217,48.92073770009107,963.8197495315512,low,4468.138383080382,914.059994401803,0
67,30.20895182480068,35.46044623569566,61.39504695392122,low,6080.346534515933,210.30528776404364,0
68,79.41276244862479,13.553807070101042,468.364264948268,low,7240.895259965306,227.99568043597253,0
7,71.6198816475817,88.8782502397443,577.9883334859968,medium,3632.63638702917,607.9288962486835,0
25,13.022035422873678,27.661037664187194,135.92833745851755,low,629.8767826647611,330.9328354927749,0
28,26.670745555844487,11.027547387843285,616.0001399960234,high,2037.3687651332054,799.3004124145291,0
33,26.276976538762508,46.32494424353183,883.6055553796546,high,5497.325230818267,746.0841496059429,0
52,73.65864198783764,90.41035352362654,885.963721739801,medium,8470.405583222706,316.44109308196687,0
28,82.2306859941332,16.093715976440613,221.65511547323098,medium,1791.0530076375485,15.123853621300157,0
13,42.81915227108322,31.389390440475108,727.9316937693716,medium,6018.923699423686,381.1433625946092,0
